,Characteristic Name[CHANM],Characteristic Value[CHAVL],Target Hierarchy Name[TGT_HRY_HIENM],Target Hierarchy Node Name[TGT_HRY_NODENAME],Target Hierarchy Node Object Name[TGT_HRY_NODEOBJNM],Mappable
0,FAAKOSTL,SCALA_1721 FK5,GCOH,G000000710,0HIER_NODE,No
1,FAAKOSTL,TEMPNA_1000US20132801,GCOH,G000000754,0HIER_NODE,No
2,FAAKOSTL,VRSM_VMCA  US10GM8028,GCOH,G000000633,0HIER_NODE,No
3,FAAKOSTL,TEMPEU_1000PL10C05200,GCOH,G000000181,0HIER_NODE,No
4,FAAKOSTL,VRSM_VMCA  SG10GM8006,GCOH,G000000635,0HIER_NODE,No
5,FAAKOSTL,TEMPEU_1000FR40703109,GCOH,G000001173,0HIER_NODE,No
6,FAAKOSTL,TEMPEU_1000FR40703100,GCOH,G000001173,0HIER_NODE,No
7,FAACAUFN,TEMPEU_009000000980,GCOH,G000001173,0HIER_NODE,No
8,FAAKOSTL,SCALA_1212 0000001100,GCOH,G000000630,0HIER_NODE,No
9,FAAKOSTL,SCALA_1212 0000001110,GCOH,G000000630,0HIER_NODE,No
